V1 magfail.asia sftgcode sftgmusl sftgreg1 sftgreg2 sftgsts sftpcons sftmoecd sftsdemo sftpmag sftprev sftpeth sftpreg sftpgen sftpnum poldemoc polautoc poldurab polxrreg polxrcmp polxropn polxcons polpareg polpacmp dispop1 dispd1 dised1 dispop2 dispd2 dised2 dispop3 dispd3 dised3 dispop4 dispd4 dised4 dispop5 dispd5 dised5 dispop6 dispd6 dised6 dispop7 dispd7 dised7 dised8 dispd8 dispd9 dis1 dis2 dis3 dis4 dis5 dis6 dis7 dis8 dis9 disced1 disced4 discpd2 discpd3 discpd4 dispop8 dispop9 sftsdist sftsdisp dispota2 sftsdisa sftsdisi sftpem1 sftpem2 sftpem3 sftprm1 sftprm2 sftprm3 sftpvm1 sftpvm2 sftpvm3 bnnyroff unuurbpo unuurbpc unuurbch unuurbcp unutpop unucpop unucgr unucurb unuctot sfxinfm elceleth elceliti maccviol maccwar maceviol macewar macctot macactot macbord mactciv mactotac macnciv macnac macregn macnreg macrgciv macregac macnrciv macnrac dmimintv sftpmreg sftpmrev sftpmeth sftpmmax itu132mi itu132m itu91 itu112 itu422 macctote macctotr macctott sftpeind sftprind sftpvind sftgybeg sftgyend sftgsngr sftgunc sftgtrop
88 1 43.73333 1 1 1 1 1 1 1 1 3.73333 1 1 1 1 1 0 7 2 1 0 0 1 4 1 0.38 0 0 0.25 2 2 0.19 2 2 0.12 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0.94 0.261 0.56 0.86 0.752666666666667 4 3 4 0 0 0 4 2 4 2 3911 19.89 7.18 1.9 19661 2029 5.83 51.88 10.32 152.1 1 1 0 7 0 0 7 7 6 6 6 3 3 6 15 30 30 7 7 0 1 5 4 4 NA NA NA NA NA 0 7 7 1 0 1 1919 9999 700 4 NA
792 1 0 2 2 1 1 2 0 1 1 0 0 0 0 0 0 0 8 91 3 1 2 2 4 2 0.28 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 0 0.28 0.5968 0.28 0.28 0.28 0 0 0 0 0 0 0 0 0 26 107 6.03 6.13 3.37 1770 NA NA NA NA 100.9 1 1 0 0 0 0 0 0 2 9 9 1 1 6 15 30 30 7 7 0 1 4 0 0 NA NA NA NA NA 0 0 0 0 0 0 1949 9999 760 64 NA
924 1 0 3 1 1 1 3 0 1 2 0 0 0 0 0 0 6 0 7 3 3 4 5 2 3 0.122 1 9 0.006 1 1 0.002 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 9 NA 0 0 NA 0 0 0.13 0.771824 0.124 0.1297 0.1299 0 0 0 0 0 0 0 0 0 2 21631 18.3 4.56 2.92 118229 8545 5.01 39.5 7.23 76 0 0 0 0 0 0 0 0 2 12 12 2 2 6 15 30 30 7 7 0 1 4 0 0 NA NA NA NA NA 0 0 0 0 0 0 1971 9999 771 50 60
1276 1 20.75 4 2 2 2 4 1 1 1 2.75 0 0 1 0 2 1 4 0 2 1 4 3 3 3 0.034 2 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 9 NA NA NA NA 0 0 0.034 0.934312 0.034 0.0323636363636364 0.0331 0 0 0 3 3 2 0 0 0 5 2045 20.4 5.04 2.81 10024 NA NA NA NA 99.8 1 0 0 0 0 0 0 0 3 1 1 1 1 7 15 17 17 5 5 0 2 4 0 3 NA 748781 0 24261 NA 0 0 0 0 1 0 1953 9999 811 116 100
1584 1 13.5 5 2 2 3 5 1 1 1 2.5 1 1 0 0 2 0 7 49 2 1 4 3 4 1 0.007 1 1 0.007 1 2 0.005 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 NA 0 0 NA 0 0 0.019 0.962484 0.012 0.0188181818181818 0.0188181818181818 2 1 1 0 0 0 0 0 0 9 368723 30.22 3.45 2.56 1220224 13584 0.85 3.68 1.11 36.5 0 1 0 0 2 0 2 2 14 23 23 5 5 67 15 23.5 23.5 6 6 0 1 4 1 1 NA 171390 NA NA 112000 2 0 2 1 0 0 1815 9999 710 156 1
2596 1 0 7 2 2 4 7 0 1 2 0 0 0 0 0 0 8 0 8 3 3 4 7 2 3 0.5 0 0 0.43 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 NA 0 NA NA 0 0 0.93 0.4398 0.43 0.88 0.93 0 0 0 0 0 0 0 0 0 5 318 40.55 2.41 0.86 784 NA NA NA NA 19.2 1 0 0 0 0 0 0 0 0 0 0 0 0 99 0 0 0 0 0 0 1 4 0 0 349979 179854 NA NA NA 0 0 0 0 0 0 1970 9999 950 242 100
3432 1 16.98958 8 2 1 1 8 1 1 2 1.98958 0 1 0 0 1 8 0 48 3 3 4 7 2 3 0.14 1 1 0.079 1 1 0.02 0 0 0.013 1 1 0.007 0 1 0.003 1 0 0.003 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 0 0 0 0.001 0.001 0.267 0.563768 NA 0.255490909090909 0.254430303030303 4 2 2 0 0 0 0 0 0 0 248875 26.79 2.8 1.2 929005 15138 3.51 6.08 1.63 70.8 1 0 0 0 2 5 7 7 6 8 8 3 3 6 15 30 30 7 7 1 1 4 2 2 NA NA NA NA 270000 7 0 7 1 0 0 1949 9999 750 356 60
3476 1 25.5 9 1 2 2 9 1 1 1 2.5 1 1 0 0 3 0 5 39 2 1 4 3 3 2 0.027 2 0 0.018 1 1 0.005 1 2 0.004 2 2 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0.054 0.89601 0.036 0.0546454545454545 0.0546454545454545 2 1 1 0 0 0 4 1 2 32 69947 35.42 4.01 2.53 197460 8621 2.6 12.33 4.37 46.2 1 0 2 0 1 0 3 3 2 0 0 0 0 7 15 17 17 5 5 0 1 4 1 2 NA 323800 3 557164 170000 1 2 3 1 0 1 1949 9999 850 360 100
4092 1 0 10 2 2 2 10 0 1 1 0 0 0 0 0 0 0 7 23 2 1 4 3 4 1 0.04 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 0 0.04 0.9232 NA 0.0527272727272727 0.0527272727272727 0 0 0 0 0 0 0 0 0 0 1010 20.69 5.59 2.51 4882 NA NA NA NA 83.7 0 1 0 0 0 0 0 0 5 8 8 3 3 7 15 17 17 5 5 0 1 4 0 0 NA 855645 1 28472 NA 0 0 0 0 0 0 1954 9999 812 418 35
4664 1 0 11 1 2 2 11 0 1 2 0 0 0 0 0 0 4 0 27 2 2 4 4 2 3 0.351 1 0 0.09 1 1 0.036 1 1 0.029 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0.506 0.377474 NA 0.511127272727273 0.511127272727273 0 0 0 0 0 0 0 0 0 17 10796 53.6 3.35 1.32 20140 1236 2.18 11.45 6.14 10.6 1 0 0 0 0 0 0 0 3 4 4 2 2 7 15 17 17 5 5 0 1 4 0 0 NA NA 20 438400 130000 0 0 0 0 0 0 1957 9999 820 458 100
